region,year,C_1_1,C_1_2,C_1_3,C_1_4,C_1_5,C_1_6,C_1_7,C_1_8,C_2_1,C_2_2,C_2_3,C_2_4,C_2_5,C_2_6,C_2_7,C_2_8,C_3_1,C_3_2,C_3_3,C_3_4,C_3_5,C_3_6,C_3_7,C_3_8,C_4_1,C_4_2,C_4_3,C_4_4,C_4_5,C_4_6,C_4_7,C_4_8,C_5_1,C_5_2,C_5_3,C_5_4,C_5_5,C_5_6,C_5_7,C_5_8,S_1_1,S_1_2,S_1_3,S_1_4,S_1_5,S_1_6,S_1_7,S_1_8,RS_1_D,RS_1_N,RS_1_b1,RS_1_b2,RS_1_b7,RS_2_D,RS_2_N,RS_2_b1,RS_2_b2,RS_2_b7,RS_3_D,RS_3_N,RS_3_b1,RS_3_b2,RS_3_b7,RS_4_D,RS_4_N,RS_4_b1,RS_4_b2,RS_4_b7,RS_5_D,RS_5_N,RS_5_b1,RS_5_b2,RS_5_b7,RS_6_D,RS_6_N,RS_6_b1,RS_6_b2,RS_6_b7,RS_7_D,RS_7_N,RS_7_b1,RS_7_b2,RS_7_b7,RS_8_D,RS_8_N,RS_8_b1,RS_8_b2,RS_8_b7,yield,yield_tha
0,2011,0.5,0.0,1.9,2.1,1.3,4.2,2.8,0.7,-4.04,-4.86,-5.15,-6.0,-6.15,-5.62,-5.23,-4.86,0.5,0.0,1.9,2.2,1.4,4.4,3.0,0.8,32.4,28.22,22.99,20.9,21.95,23.84,27.92,32.16,20.63,16.44,11.27,10.05,11.05,11.24,14.76,18.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15282.61143,14590.92544,956.6006897,2083.581709,1239.402247,14977.11871,14376.54832,752.8069278,2410.392375,1014.200119,14718.72686,14147.42232,616.9796117,2791.984563,876.4823654,14572.35518,14040.61149,613.1625223,3597.846518,869.3468236,14671.11739,14099.07706,539.8356142,3495.1791,828.3696039,14819.26201,14117.71501,738.1242212,3197.826936,946.0642246,15154.42704,14276.22344,1022.710206,2820.873721,1258.188993,15431.87871,14506.71097,1207.968458,2450.024505,1478.213841,2.548500803,6.06543191114
0,2012,0.5,14.4,0.6,6.1,4.4,2.5,0.0,0.1,-3.73,-1.8,-2.57,-3.11,-2.8,-3.04,-3.64,-3.64,0.5,15.2,0.7,6.4,4.7,2.6,0.0,0.1,30.31,23.61,21.6,18.6,20.19,22.6,29.95,33.49,18.88,12.92,10.18,8.09,9.03,10.48,15.65,19.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15180.24071,14456.59976,1026.868602,2296.970894,1352.01097,14804.07055,14213.60955,748.3260273,2256.181835,1011.096536,14665.81615,14079.90407,736.0109313,2927.07905,1022.653622,14505.4086,13971.08206,632.5843347,3376.769637,875.0552681,14517.5357,13971.01816,742.1018024,4037.721323,971.3467679,14795.42526,14113.3856,668.3634012,3738.994938,943.2363429,15151.26924,14314.01818,795.6064382,2924.73524,973.7270063,15494.16143,14569.29535,1203.918809,2544.620745,1482.025173,2.692972426,6.40927437388
0,2013,1.1,6.4,3.4,12.0,2.2,0.0,1.5,0.7,-2.88,-2.63,-2.71,-2.21,-2.5,-3.48,-3.75,-3.59,1.2,6.8,3.6,12.6,2.3,0.0,1.6,0.7,32.27,27.35,22.2,20.3,22.6,26.46,28.37,34.33,20.5,17.09,11.5,9.79,11.11,13.58,14.89,19.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15251.17461,14586.35178,976.5141299,2176.98409,1306.981308,14911.75141,14326.05135,687.4518988,2291.429202,960.8460911,14668.55218,14127.30291,620.7736983,2852.101775,899.2851302,14545.60545,14035.03813,576.050929,3395.492351,810.4777481,14661.90283,14087.68909,630.5730975,3859.001558,894.2192646,14958.42308,14217.47052,711.4316033,3088.197013,932.4097686,15205.46888,14301.87077,1059.912476,2731.093124,1283.127503,15499.17327,14585.21761,1232.743519,2394.837116,1514.64486,2.701499682,6.4295692431600004
0,2014,0.1,0.7,12.2,8.4,10.9,3.8,0.0,1.8,-3.2,-3.94,-1.87,-1.78,2.76,2.28,1.14,1.18,0.1,0.7,12.9,8.9,11.5,4.0,0.0,1.9,29.92,27.8,19.97,20.5,22.31,24.4,29.81,32.83,17.66,16.82,9.49,9.87,10.27,12.14,16.15,19.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15184.72677,14478.35442,1034.106453,2259.03527,1380.043925,14940.34883,14344.27081,771.0820353,2593.478564,1044.108478,14600.02265,14040.97975,572.1737317,2892.131092,821.6672508,14598.44571,14076.37752,547.5714008,3470.409741,791.1720628,14681.86873,14117.64317,632.3396473,3957.669726,921.1848297,14890.45264,14193.54725,813.3712728,3472.671701,1061.366044,15285.84609,14409.26402,1091.971517,2900.968217,1412.894192,15499.67129,14576.0543,1135.687778,2307.093263,1462.503922,2.591998888,6.16895735344
0,2015,1.8,17.2,0.7,9.9,2.8,1.3,3.0,0.1,-1.06,1.92,0.85,0.62,-1.24,-1.89,-1.91,-2.1,1.9,18.1,0.8,10.4,3.0,1.4,3.2,0.1,30.22,25.45,22.94,18.98,20.84,25.64,27.67,33.28,18.76,15.29,12.13,8.57,10.16,13.05,13.97,19.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15186.5246,14505.94376,1023.434824,2281.637338,1391.917445,14862.16089,14303.98407,833.0469144,2585.862409,1081.639594,14687.94603,14144.27319,604.9596963,2865.939809,885.0553516,14521.09154,13981.19007,533.9641745,3334.97238,798.5078994,14652.25457,14061.54426,614.5044504,3637.245244,885.6692256,14905.33305,14206.14997,701.727915,3344.774477,930.9312417,15173.76647,14268.07585,1006.56008,2736.889334,1253.86456,15476.67322,14570.7257,1096.490905,2291.052348,1349.361482,3.01500144,7.175703427199999
0,2016,28.8,5.9,2.2,9.9,1.5,5.0,4.3,0.6,5.09,4.37,3.36,3.1,2.1,1.9,1.7,1.3,30.3,6.2,2.3,10.4,1.6,5.3,4.5,0.6,32.07,26.76,20.38,18.5,23.3,25.2,29.7,32.9,20.52,15.8,9.3,8.4,11.2,12.7,16.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15217.18164,14582.5826,994.8780819,2214.467868,1304.077105,14910.82225,14320.52168,695.2125797,2438.970628,1020.215139,14688.94936,14136.34654,550.0432521,2845.545088,841.8520528,14542.48416,14007.85659,526.2493047,3464.172703,809.6424677,14753.01398,14118.46326,568.2517802,3640.543697,840.2008233,14893.25446,14180.59077,735.2983422,3120.715009,965.1448597,15315.34549,14406.2311,1138.214397,2720.797471,1467.847945,15411.9095,14576.42809,1246.780068,2250.047786,1481.190254,2.86950209,6.8294149742
0,2017,9.2,0.3,3.3,2.2,3.9,0.2,3.9,0.2,1.6,-1.2,-1.4,-2.5,-2.3,-3.0,-2.7,-2.8,9.7,0.3,3.5,2.3,4.1,0.2,4.1,0.2,31.9,26.1,19.4,18.4,20.4,23.8,28.5,32.9,19.6,15.6,9.0,8.0,8.2,11.1,15.2,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15187.2984,14509.45783,1011.03357,2243.040651,1410.246006,14880.96641,14276.99992,747.477966,2375.442381,1034.084047,14659.57203,14088.21317,628.85574,2843.901249,908.2795342,14548.22689,14003.87174,568.9968222,3403.222185,827.3712989,14646.58795,14056.74181,630.5413068,3815.283906,900.0636891,14861.8848,14157.17457,760.0023677,3416.911452,968.6692484,15153.74624,14301.68423,1015.064217,2883.287379,1250.92,15458.96088,14531.91957,1193.437323,2419.391354,1487.676602,2.8205,6.71279
0,2018,1.2,1.3,0.6,15.5,3.1,1.3,18.4,0.9,-2.4,-3.1,-3.8,-2.7,-2.7,-3.3,3.3,2.8,1.3,1.4,0.6,16.3,3.3,1.4,19.4,0.9,30.2,25.5,23.4,19.8,23.4,27.5,29.5,33.2,18.3,14.6,12.2,9.6,12.3,14.1,16.1,20.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15198.55427,14522.849,1024.239639,2250.917858,1350.00837,14902.16942,14301.20795,743.8036677,2401.914472,1022.698933,14673.70928,14113.00747,649.2672748,2857.807601,919.2544591,14556.34137,14020.72208,579.6552155,3429.815359,834.4661646,14657.71198,14078.77764,637.8257246,3763.763465,897.7166585,14874.64786,14170.97384,741.8063069,3305.082417,969.1978405,15201.23996,14322.19883,1036.136171,2828.307002,1289.783942,15465.88366,14550.8625,1180.459272,2365.452786,1459.50133,2.7945,6.6509100000000005
0,2019,3.7,10.1,7.0,0.2,17.6,4.6,8.0,0.2,1.4,2.0,2.2,-2.4,3.0,2.8,3.5,2.7,3.9,10.6,7.4,0.2,18.5,4.8,8.4,0.2,30.6,25.4,21.2,18.9,20.5,23.2,27.6,33.9,19.7,15.6,10.9,8.1,9.2,10.8,13.8,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15192.72832,14516.5031,1014.425838,2243.609496,1348.425018,14888.88962,14284.24669,736.913946,2376.931531,1025.118791,14667.00819,14097.15394,632.7338766,2841.919763,912.1883268,14546.71015,14006.39567,568.9961756,3415.180506,828.6343925,14650.03393,14064.26734,629.2499533,3792.428979,896.7155554,14864.37251,14161.13716,735.112075,3389.036479,958.9217044,15166.06813,14312.02774,1032.052897,2898.73703,1269.065249,15466.14705,14540.56858,1189.192611,2417.128542,1482.614438,2.7949,6.651862
0,2020,20.6,0.6,4.3,4.8,4.8,45.8,2.4,0.7,4.9,3.3,2.5,1.06,1.04,6.26,5.28,4.51,21.7,0.6,4.5,5.1,5.0,48.2,2.5,0.7,31.6,27.4,22.0,19.5,21.3,24.6,28.2,33.2,19.7,16.7,11.2,8.7,10.0,12.2,14.4,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15188.1766,14510.53343,1011.907166,2243.48518,1403.821868,14882.49937,14278.65544,746.7285808,2376.914026,1033.012975,14660.70747,14089.9887,630.1341437,2844.528873,909.0628878,14548.57414,14004.89143,569.5577562,3405.251211,827.8111915,14647.35479,14058.29767,630.8567313,3811.369413,899.7639436,14862.68747,14158.1094,757.7346649,3409.558609,968.1840404,15156.89443,14303.30834,1017.067409,2881.206814,1253.920484,15459.70346,14533.37177,1192.530862,2416.433386,1485.927263,2.7789,6.6137820000000005
